id,date,startTime,sport,game,bet,odds,stake,company,result,deeplink
"1754420717494.8972","2025-07-23","","Soccer","Copa Sudamericana: Vasco da Gama-RJ – Independiente del Valle ","Under 7.5 - shot on target Vasco da Gama-RJ","1.9","8","Unibet","Win",""
"1754420717494.5278","2025-07-23","","Soccer","Colombia Primera A: Deportivo Pereira – Atletico Nacional ","AH2(+0.5) - corners 	","1.83","10","Bet365","Loss",""
"1754420717494.9487","2025-07-23","","Tennis"," ATP Washington: Ben Shelton – Mackenzie McDonald","Over 1.5 - break 1st set","2.5","8","Bet365","Loss",""
"1754420717495.1765","2025-07-23","","Baseball","STL Cardinals – COL Rockies","Under 20.5 - hits (OT incl)","1.95","12","Betsson","Win",""
"1754420717495.2903","2025-07-24","","Baseball","Texas Rangers – The Athletics","Under 16.5 - hits (OT incl)","2.01","12","Betsson","Win",""
"1754420717495.755","2025-07-24","","Soccer","Europa League Qual: Levski Sofia – S.C. Braga  ","1 - corners","3.3","5","Unibet","Win",""
"1754420717495.7395","2025-07-24","","Soccer","Conference League Qual: Paide Linnameeskond – AIK ","AH2(−1.75)","2.05","10","Unibet","Half Win",""
"1754420717495.101","2025-07-23","","Soccer","UEFA Europa Conference League Qual: Silkeborg - KA Akureyri","1 - corners","1.22","12","William Hill","Loss",""
"1754420717495.5576","2025-07-24","","Soccer","UEFA Europa Conference League Qual: Ilves – Az Alkmaar ","Ilves 4 Or More Corners","2.25","8","PokerStars","Win",""
"1754420717495.6326","2025-07-23","","Soccer","Europe - UEFA Champions League Qual: Brann – FC Red Bull Salzburg","Over 3.5 - shot on target 1st half","2.14","8","Coolbet","Win",""
"1754420717495.568","2025-07-26","","Soccer","KPV – JJK / Finland Ykkonen  ","AH1(−0.25)","1.925","10","Bet365","Win",""
"1754420717495.8113","2025-07-26","","Soccer","Aalesund – Moss Norway / OBOS-ligaen ","2(0:5) - corners","1.55","8","Unibet","Loss",""
"1754420717495.8206","2025-07-25","","Soccer","Zurich – Sion Switzerland - Super League ","Over 5.5 - corners 2nd half","2.5","8","Betway","Loss",""
"1754420717495.5332","2025-07-25","","Soccer","Crawley Town – Crystal Palace World - Club Friendly Games ","AH2(−1)","2.3","8","Ninja Casino","Win",""
"1754420717495.3281","2025-07-26","","Darts","James Wade – Jonny Clayton International / World Matchplay ","Jonny Clayton 1st Player to Score 180","2.1","8","888sport","Win",""
"1754420717495.395","2025-07-25","","Soccer","Norwich – Olympiakos / Europe Friendlies ","AH Under 9 - corners","1.975","6","Bet365","Win",""
"1754420717495.7878","2025-07-25","","Tennis","Minaur A – Nakashima B / ATP Washington"," USA Men Singles ","6:4 1st set","1","Ninja Casino","Win",""
"1754420717495.359","2025-07-26","","Soccer","Myllykosken Pallo -47 – VJS Finland / Finland Kakkonen ","2","1.89","10","Betsson","Loss",""
"1754420717495.444","2025-07-26","","Soccer","Puiu – GrIFK / Finland Kakkonen Group A ","AH2(+0.5)","1.95","10","Bet365","Win",""
"1754420717495.0972","2025-07-31","","Soccer","AIK – Paide Linnameeskond / UEFA Conference League Qual.","2(0:2)","2.93","3","Olybet","Loss",""
"1754420717495.038","2025-07-26","","Soccer","Nantes – Rennes / Friendlies ","Over 3.5","2.2","6","PokerStars","Win",""
"1754420717495.931","2025-07-27","","Tennis","Adam Walton – Benjamin Bonzi / ATP Masters Toronto - Hard ","1","2.55","8","Olybet","Win",""
"1754420717495.8572","2025-07-27","","Cricket","England – India International Test Cricket / Match","England","2.14","8","Unibet","Loss",""
"1754420717496.468","2025-07-27","","Soccer","Bryne – Viking FK / Norway - Eliteserien ","AH (Under 3)","1.99","6","Coolbet","Loss",""
"1754420717496.4956","2025-07-27","","Soccer","England – Spain / Women’s EURO 2025 ","Over 4.5 - offsides","3.18","8","Betsson","Loss",""
"1754420717496.3076","2025-07-29","","Basketball","Pittsburgh Pirates – San Francisco Giants / MLB","1st Inning Hits - 0-1 Hits Recorded","2.15","6","PokerStars","Loss",""
"1754420717496.2883","2025-07-29","","Tennis","Egor Gerasimov – Karan Singh / ATP Challenger Astana - Hard ","2","2.6","5","Olybet","Win",""
"1754420717496.324","2025-07-28","","Tennis","Tristan Schoolkate – Joao Fonseca / ATP Toronto ","4:6 1st set","4.33","2","William Hill","Loss",""
"1754420717496.2026","2025-07-28","","Tennis","Watanuki Yosuke – Altmaier D / ATP Montreal ","1","2.78","4","Coolbet","Win",""
"1754420717496.5989","2025-07-28","","Tennis","Dan Martin – Jaume Munar / ATP Toronto ","Dan Martin Total Games - Over 4.5","1.727","8","William Hill","Loss",""
"1754420717496.1646","2025-07-29","","Soccer","SJK Akatemia/2 – Vasa IFK / Finland - Kakkonen Group C ","Over 3.5","1.89","8","Tonybet","Win",""
"1754420717496.3313","2025-07-30","","Tennis","Yunchaokete B – Sonego L / Canada - ATP Toronto ","1","2.65","4","Coolbet","Loss",""
"1754420717496.3445","2025-07-29","","Soccer","Kolbotn – Roa IL / Norway - Toppserien Women ","AH1(+0.5)","2.22","6","Pinnacle","Win",""
"1754420717496.126","2025-07-31","","Soccer","AZ Alkmaar – Ilves / Conference League Qual","Over 6.5 - corners 1st team","1.8","10","Unibet","Win",""
"1754420717496.5364","2025-07-30","","Soccer","Team K League – Newcastle United / World - Friendlies ","Over 3.5","2.15","10","Epicbet","Loss",""
"1754420717496.8545","2025-07-31","","Tennis","Francisco Comesana – Alex De Minaur / ATP Toronto ","4:6 1st set","5","3","William Hill","Win",""
"1754420717496.0955","2025-07-30","","Tennis","Alexander Zverev – Adam Walton / ATP Toronto ","6:4 1st set","4.75","2","William Hill","Loss",""
"1754420717496.1033","2025-08-02","","Soccer","IF Brommapojkarna – IFK Norrköping / Sweden - Allsvenskan ","AH ( 	Over 5 - corners 2nd team)","2.85","5","Epicbet","Win",""
"1754420717496.8386","2025-08-03","","Soccer","SJK – KTP / Finland Veikkausliiga ","AH2(+3.5) - corners","1.9","8","Bet365","Loss",""
"1754420717496.692","2025-07-31","","Soccer","Hajduk Split – Zira IK / Conference League Qual","Zira IK under 3.5 - corners ","1.58","10","Unibet","Win",""
"1754420717496.9963","2025-08-01","","Tennis","A Zverev – Arnaldi / ATP Toronto 2025 ","6:4 1st set","5","3","888sport","Loss",""
"1754420717496.1697","2025-07-31","","Soccer","AZ Alkmaar – Ilves / UEFA Conference League Qual","Over 6 - corners 1st period","5.5","3","888sport","Win",""
"1754420717496.2156","2025-07-31","","Soccer","AZ Alkmaar – Ilves / UEFA Conference League Qual","Corners 5-6 - 1st Half ","3.6","3","888sport","Loss",""
"1754420717496.4846","2025-08-01","","Tennis","Daniil Medvedev – Alexei Popyrin / ATP Toronto ","Alexei Popyrin Over 1.5 - break of serve","2.5","6","Bet365","Win",""
"1754420717496.4573","2025-08-03","","Soccer","Nashville SC – Aston Villa / Club Friendlies ","1X","2.6","5","William Hill","Win",""
"1754420717496.9185","2025-08-02","","Soccer","Leeds – Villarreal / Elite Club Friendlies ","AH1(+0.5)","1.72","6","Epicbet","Win",""
"1754420717496.7095","2025-08-01","","Tennis","Frances Tiafoe – Aleksandar Vukic / ATP Toronto ","6:4 1st set","5.8","3","Unibet","Loss",""
"1754420717496.7458","2025-08-03","","Soccer","Botafogo-RJ – Cruzeiro-MG Brazil / Brasileirao Serie A "," 	Under 7.5 - shot on target","2.8","5","Unibet","Win",""
"1754420717496.9856","2025-08-04","","Soccer","Atlético Mineiro-MG – RB Bragantino-SP / Brazil  Brasileirao Serie A ","Under 8.5 - shot on target","2.33","6","Unibet","Loss",""
"1754420717496.0205","2025-08-02","","Soccer","Raufoss – Lyn / Norway - 1st Division ","AH (Under 3)","1.813","8","Pinnacle","Push",""
"1754420717496.7075","2025-08-03","","Soccer"," 	Djurgardens – Halmstads / Sweden - Allsvenskan ","AH (Under 3)","2.15","6","Pinnacle","Win",""
"1754420717496.8179","2025-08-03","","Soccer","Rapid Wien – Blau-Weiss Linz / Austria Bundesliga ","1(0:3) - corners","2.43","5","Unibet","Win",""
"1754420717496.2998","2025-08-03","","Soccer","Start – AaFK Fortuna / Norway - 1st Division Women","AH (Over 3)","2.41","5","Pinnacle","Win",""
"1754420717496.6067","2025-08-04","","Soccer","VJS Vantaa – PEPO Lappeenranta / Finland - Kakkonen","1(0:1 3-way hcp)","2.2","8","Betway","Loss",""
"1754420717496.1948","2025-08-04","","Soccer","Daegu Fc – Barcelona / Elite Friendlies ","Daegu over 0.5","2","5","PokerStars","Loss",""
"1754420717496.807","2025-08-07","02:00","Soccer","Palmeiras-SP – Corinthians-SP / Brazil Copa do Brasil ","Corinthians-SP Over 3.5 - shot on target","3.25","4","Unibet","Win",""
"1754420717496.1667","2025-08-05","22:00","Tennis","Alex De Minaur - Ben Shelton / ATP Toronto","1","1.6","4","Unibet","Loss","https://www.bet365.com/#/IP/EV151219482455C13"
"1754420717496.9167","2025-08-05","21:00","Tennis","Alex De Minaur – Shelton, Ben / ATP Toronto","6:4 1st set","5.33","1","Wildz","Loss",""
"1754420717496.6777","2025-08-09","17:00","Soccer","Bolton Wanderers – Plymouth Argyle / England - League One ","2(0:2) - corners","3.25","4","Epicbet","Loss",""
"1754420717496.8162","2025-08-05","18:00","Soccer","Malmo FF – FC Copenhagen / UEFA Champions League Qual","Total 10 or more - corners","2.4","6","PokerStars","Loss",""
"1754420717496.2478","2025-08-06","02:00","Soccer","Real Betis – Como / Europe Friendlies ","1 / DNB","2.1","8","Bet365","Loss",""
"1754420717496.0002","2025-08-09","17:00","Soccer","Mariehamn – Gnistan / Finnish Veikkausliiga ","2 / DNB","1.75","6","888sport","Win",""
"1754420717496.828","2025-08-07","20:00","Soccer","CFR Cluj – S.C. Braga / Europa League Qual","Braga Under 5.5 - corners","2.12","8","Unibet","Win","https://www.bet365.com/#/IP/EV151219482455C13"
"1754420717496.532","2025-08-08","21:30","Soccer","Gaziantep B.B. – Galatasaray / Turkey Süper Lig ","Gaziantep B.B. Over 3.5 - corners","2.6","5","Unibet","Loss",""
"1754470580513","2025-08-06","21:00","Tennis","Nathan Ponwith – Vladislav Melnic /  Southaven - Hard ","1","1.87","8","Olybet","Win","https://www.olybet.eu/sports/pre-match/event-view/Tennis/USA/18286786/itf-men-southaven-hard/27733346/nathan-ponwith-vladislav-melnic?OddType=0"
"1754491385626","2025-08-12","20:00","Soccer","FC Copenhagen – Malmo FF / UEFA Champions League Qual","AH1(−0.5)","1.88","8","Bet-at-home","","https://www.bet-at-home.com/en/sports/i/event/1/Football/EUR/UEFA%20Champions%20League%20Qualification/FC%20Copenhagen%20-%20Malmo%20FF/277752686287392768/all"
"1754544985892","2025-08-14","03:00","Soccer","Flamengo-RJ – Internacional-RS / Copa Libertadores ","Internacional-RS Over 3.5 - shot on target ","2.85","6","Unibet","",""
"1754561299507","2025-08-08","18:00","Soccer","FC Inter Turku – AC Oulu / Finland - Veikkausliiga ","1 1st Half","1.81","7","Unibet","Win",""
"1754561522795","2025-08-09","14:30","Soccer","Coventry – Hull / English Championship ","Hull - Under 3.5 corners","2.88","5","PokerStars","Win","https://eur.pokerstars.com/sports/soccer/1/english-championship/7129730/coventry-v-hull/34459662/#corners-and-cards"
"1754561706562","2025-08-07","20:00","Soccer","BK Hacken – SK Brann / UEFA Europa League Qual","Under 5.5 - yellow cards","1.63","8","Olybet","Win","https://www.olybet.eu/sports/pre-match/event-view/Soccer/Europe/18275688/uefa-europa-league-qualification/27710975/bk-hacken-sk-brann?OddType=0"
"1754582484326","2025-08-09","17:00","Soccer","Oldham Athletic – Colchester United / England  League Two","1(1:0) - corners","1.97","10","Unibet","Win",""
"1754643963206","2025-08-09","16:00","Soccer","HJK Women – PK-35 RY Women / Finland Kansallinen Liiga","AH (Under 5)","1.9","8","Bet365","Win",""
"1754825854478","2025-08-10","16:00","Soccer","JPS – FC Honka / Finland - Kakkonen, Group A ","Over 5.5","1.86","4","Tonybet","Loss","https://tonybet.com/fi/prematch/football/1008085-kakkonen-group-a/7266182-jps-fc-honka"
"1754831054472","2025-08-10","17:00","Soccer","KuPS Akatemia – FC Inter Turku 2 / Finland - Ykkonen ","1 / DNB","2.95","4","Tonybet","Win","https://tonybet.com/fi/prematch/football/1063678-ykkonen/7269296-kups-akatemia-fc-inter-turku-2"
"1754889173531","2025-08-11","20:00","Tennis","Tiafoe, Frances – Humbert, Ugo / ATP Cincinnati, USA Men","6:4 1st set","5","1","Wildz","","https://www.wildz.com/en-on/sports/?page=event&sportId=68&eventId=13566240/"
